seed	verdict	end_min	js_errors	failed_ai	harness	pop_limit	will	wonderord	poptech	fortress	assembly	carnyx	focus	razed	level	warbuy	corral	tier3	stable	cavbatch	cavtech	hero	champ	cav
89	win	36.4	0	0	1	300	0	0	0	0	1	2	0	0	0	5	0	2	1	7	0	2	12	26
90	win	30.1	0	0	1	300	0	0	0	1	1	0	0	2	0	7	0	1	1	7	0	0	0	25
91	win	29.0	0	0	1	300	0	0	0	1	1	0	0	3	0	7	0	0	1	3	0	1	25	6
92	win	24.1	0	0	1	300	0	0	0	1	1	0	0	1	0	3	0	0	1	7	0	0	0	25
93	win	29.6	0	0	1	300	0	0	0	1	1	2	0	2	0	7	0	0	1	4	0	1	22	11
94	win	24.5	0	0	1	300	0	0	0	1	1	0	0	1	0	7	0	0	1	8	1	0	0	30
95	win	33.0	0	0	1	300	0	0	0	1	1	2	0	0	1	5	0	0	1	11	2	1	2	46
96	win	30.5	0	0	1	300	0	0	0	0	1	2	0	0	0	1	0	0	1	7	2	1	12	26
97	win	26.2	0	0	1	300	0	0	0	1	1	2	0	0	0	5	0	0	1	7	0	1	1	31
98	win	23.1	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	0	1	5	1	1	0	16
99	win	31.7	0	0	1	300	0	0	0	1	1	2	0	1	1	7	0	0	1	6	1	1	7	21
